Author,Title
"BIRESWAR, MAJUMDAR",FLUID MECHANICS WITH LABORATORY MANUAL 
"BLOOMER, JOHN J",PRACTICAL FLUID MECHANICS FOR ENGINEERING APPLICATIONS 
"DAS, MADAN MOHAN",FLUIDE MECHANICS AND TURBOMACHINES 
"DIXON, S L",FLUID MECHANICS AND THERMODYNAMICS OF TURBOMACHINERY 
"ESPOSITO, ANTHONY",FLUID POWER WITH APPLICATIONS 
ETHIRAJAN RADHAKRISHNAN,FLUID MECHANICS AN INTRODUCTION 
"FOX, ROBERT W",FLUID NECHANICS 
Garde.R. J,Fluid Mechanics Through Problems 
"Gupta, S C",FLUID MECHANICS AND HYDRAULIC MACHINES 
HIBBELER,FLUID MECHANICS IN SI UNITS 
Jack B.Evett,2500 Solved Problems in Fluid Mechanics And Hydraulics 
Jack B.Evett,Fluid Mechanics And Hydraulics  2500 solved problems in 
Jaico,Fluids Flow And Control Principles And Practice 
James A. Fay,Introduction to Fluid Mechanics 
"JOG, C.S",FLUID MECHANICS FOUNDATIONS AND APPLICATIONS OF MECHANICS 
"Johnson, James L",Introduction to Fluid Power 
"KATZ, JOSEPH",INTRODUCTORY FLUID MECHANICS 
Khurmi,Textbook of Refregeration and Airconditioning 
KUMAR DS,Fluid Mechanics and Fluid Power Engineering 
"LAKSHMINARAYAN, BUDUGUR",FLUID DYNAMICS AND HEAT TRANSFER OF TURBOMACHINERY 
"MADAN, MOHAN DAS",FLUID MECHANICS AND TURBOMACHINES 
"MUNSON, BRUCE R",FUNDAMETALS OF FLUID MECHANICS 
"MUNSON, BRUCE R",FLUID MECHANICS  SI VERSION 
"PATRA, K C",ENGINEERING FLUID MECHANICS AND HYDRAULIC MACHINES 
R S Khurmi,A Textbook of Hydraulics Fluid Mechanics and Hydraulic Machines 
"RAJPUT, R.K",TEXT BOOK OF FLUID MECHANICS AND HYDRAULIC MACHINES IN SI UNITS 
"Ramjee, V",Fluid Mechanics and its Applications 
"Giles, Ranald V",Theory and Problems of Fluid Mechanics and Hydravlics 
RAO B C S,FLUID MECHANICS AND MACHINERY 
ROBERT.W.FOX,INTRODUCTION TO FLUID MECHANICS 
S.S.Rattan,A Textbook of Fluid Mechanics 
SINGH SARBJIT,EXPERIMENTS IN FLUID MECHANICS 
"SOM, SK",FLUID MECHANICS AND FLUID MACHINES 
"SUBRAMANYA, K",1000 SOVED PROBLEMS IN FLUID MECHANICS 
"SUBRAMANYA, K",Fluid Mechanics and Hydraulic Machines 
"SUBRAMANYA, K",FLUID MECHANICS AND HYDRAULIC MACHINES PROBLEMS AND SOLUTIONS 
"TRUESDELL, C",INTRODUCTION TO THE MECHANICS OF FLUIDS 
Vijay Gupta,Fluid Mechanics  And its Applications 
"Cengel, Yunus A",FLUID MECHANICS IN SI UNITS  FUNDAMENTALS AND APPLICATIONS 
William F.Hughes,Theory And Problems of Fluid DynamicsSchams Outline of 
YUNUS A CENGEL JOHN M CIMBALA,FLUID MACHANICS 
"BIDYA, SAGAR PANI",FLUID MECHANICS  A CONCISE INTRODUCTION 
W P GRAEBEL,ADVANCED FLUILD MECHANICS
"JOG, C S",FLUID MECHANICS FOUNDATIONS AND APPLICATIONS OF MECHANICS  V2 
K. R. Arora,Fluid Mechanics Hydraulics And Hydraulic Machines 
C.P. Kothandaraman,Basic Fluid Mechanics 
KUMAR K.L,ENGINEERINGFLUID MECHANICS 
P.N.Modi,Hydraulics and Fluid Mechanics Including Hydraulic Machines 
S. Nagaratnam,Fluid Mechanics  A Textbook for Engineering Students 
"NARASIMHAN, S",FIRST COURSE IN FLUD MECHANICS 
R K Rajput,A Textbook of Fluid Mechanics and hydraulic Machines 
"RAJPUT, R.K",A TEXTBOOK OF FLUID MECHANICS AND HYDRAULIC MACHINES 
John C. Tannehill,Computational Fluid Mechanics and Heat Transfer 
"RAO, BES",FLUID MECHANICS And MACHINERY 
"AL-ZUHAIR , SULAIMAN",SUPERCRITICAL FLUIDS TECHNOLOGY IN LIPASE CATALIZED PROCESSES 
"BALACHANDRAN, P",FUNDAMENTALS OF COMPUTER FLUID DYNAMICS 
"DATE,ANIL W",Introduction to computational Fluid Dynamics 
"Hughes, William F",Theory and Problems ofFluid Dynamics 
KOVACEVICA,SCREW COMPRESSORS 
"PERSEN, LEIF N",PRAGMATIC APPROACH TO TURBULENCE A SHORT COURSE IN FLUID MECHANICS 
"Ranga Raju, K.G.",Flow through Open Channels 
SUBRAMANYA,FLOW IN OPEN CHANNELS 
SULTANIAN,FLUID MECHANICS AN INTERMEDIATE APPROACH 
"WEGNER, JOANNE L",ELEMENTS OF CONTINUUM MECHANICS AND THERMODYNAMICS 
"WENDT, JOHN F",COMPUTATIONAL FLUID DYNAMICS  AN INTRODUCTION 
MURUGAPERUMAL P,GAS DYNAMICS And JET PROPULSION 
"YAHYA, S M",GAS TABLES  FOR COMPRESSIBLE FLOW CALCULATIONS 
Radhakrishnan,Gas Tables 
"Rathakrishnan,E.",Gas Dynamics 
Somasundaram,Gas Dynamics and Jet Propulsion 
Yahya S M,GAS TABLES 
S.K. Kulshreshtha,Gas Dynamics with Propulsion 
"YESUDIAN, C DANIEL",MATERIAL SCIENCE And METALLURGY 
W Bolton ,Materials foe engineers and technicians 
GERE,MECHANICS OF MATERIALS 
"NASH, W A",STRENGTH OF MATERIALS 
"PRASAD, I B",TEXTBOOK OF STRENGTH OF MATERIALS 
"JUNNARKAR, S B",MECHANICS OF STRUCTURES VOL 1 
S.B. Junnarkar,Mechanics of Structures Vol1   
"AGARWAL, B K",INTRODUCTION TO ENGINEERING MATERIALS 
Anderson J C,Meterial Science for Engineers 
"Anderson, J.C. LEAVER, K.D, LEEVERS, P, RAWINGS, R.D",Materials Sciences for Engineers 
"Arumugam, M",Material Science Physics of Materials 
Askeland,SCIENCE AND ENGINEERING OF MATERIALS 
"Aswani, K G",Textbook of Materials Science 
BALASUBRAMANIAM,CALLISTERS MATERIALS SCIENCE AND ENGINEERING 
"Beer, Ferdinand P",Mechanics of Materials 
BHARGAVA.A.K,ENGINEERING MATERIALS 
"Budinski, Kenneth G",Engineering Materials  Properties and Selection 
"BUDINSKI, KENNETH G",ENGINEERING MATERIALS PROPERTIES AND SELECTION 
"CALLISTER, WILLIAM D",MATERIALSCIENCE AND ENGINEERING 
"CHARLES, JA CRANE ,FURNESS",SELECTION AND USE OF ENGINEERING MATERIALS 
"DONALD ,ASKELAND.R.",MATERIALS SCIENCE AND ENGINEERING 
"Gupta, K M",Material Science 
"MCGEOUGH, JOSEPH",MICROMACHINING OF ENGINEERING MATERIALS 
"Palaniramy, P K",Materials Science 
R.A.Flinn,Engineering Materials and Their Applications 
Raghavan. V,Materials Science and Engineering 
"Raghavan, V",MATERIAL SCIENCE And ENGINEERING 
Rajput R.K,Engineering Materials A Textbook for Engineering students of BE SectionB of AMIE India Diploma and Competitive Examination 
Rajput R.K,Engineering Materials 
"Rajput, R K",MATERIAL SCIENCE AND ENGINEERING 
"RAJPUT, R K",TEXT BOOK OF MATERIAL SCIENCE AND ENGINEERING 
SHARMA CP,ENGINEERING MATERIALS PROPERTIES AND APLLICATIONS OF MATERIALS AND ALLOYS 
"Solecki, Roman",Advanced Mechanics of Materials 
"Srivastava, C M",Science of Engineering Materials 
Van Vlack,Electronics of Material Science and Engineering 
"Van Vlack, Lawrence H",Elements of Material Science and Engineering 
Willian A. Nash,Statics and Mechanics of Materials  Theory and Problems of Schaums Outline of 
William A nash,Theory and Problem of Statics and Mechanics of Materials 
William A.Nash,Theory And Problems of Statics And Mechanics of Materials 
"BLACK, J T",DEGARMOS MATERIALS AND PROCESSES IN MANUFACTURING 
"DEN HARTOG, J P",ADVANCED STRENGTH OF MATERIALS 
KAMAL KUMAR,ADVANCED  MECHANICS OF METERIALS
BALASUBRAMANIAM,MATERIALS SCIENCE AND ENGENEERING 
DEBORAH.D.L.CHUNG,COMPOSITE MATERIALS  SCIENCE AND APPLICATIONS 
"GANDHI, CP",SOLUTIONS TO ENGINEERING MATHEMATICS 
Rajput R K,Engineering Meterials Including Construction Meterials 
R.SRINIVASAN,ENGINEERING MATERIALS AND METALLRUGY 
M. Chakraborthi,Strength And Materials 
Malhotra,Strength of Materials 
Rajput R K,Strength of Meterials Mechanics of solids 
"BICKFORD, WILLAIM B",ADVANCED MECHANICS OF MATERIALS 
Budynas,Advanced strength and Applied stress Analysis 
"Budynas, Richard G",ADVANCED STRENGTH AND APPLIED STRESS ANALYSIS 
"BURNS, THOMAS",APPLIED STATICS AND STRENGTH OF MATERIALS 
Khurmi,Applied Mechanics and Strength of Materials 
"Khurmi , R S",Strength of Materials Mechanics of Solids 
"MADAN, MOHAN DAS",BASIC ENGINEERING MECHANICS AND STRENGTH OF MATERIALS 
"Mott, Robert L",Applied Strength of Materials 
Patil,Mechanical System Design 
Prakash Rao,Introduction to Strength of Materials 
"Prakash Rao, D S",Strength of Materials Vol I 
Rattan,STRENGTH OF M ATERIALS 
"TIMOSHENKO, STEPHEN",STRENGTH OF MATERIALS  ADVANCED THEORY AND PROBLEMS 
"TIMOSHENKO, STEPHEN",STRENGTH OF MATERIALS  PART 1 ELEMENTARY THEORY AND PROBLEMS 
R.K.Bansal,A Textbook of Strength of Materials 
Dr. B.C. Punmia,Strength of Materials and Theory of Structure Vol 1 
Raghbir SingLehri,Strength of Materials  Mechanics of Materials 
SENTHIL S,STRENGTH OF MATERIALS
Malhotra,The Strength of Material 
SINGH D.K.,STRENGTH OF METERIALS 
"KAMACHI, MUDALI U",CORROSION SCIENCE AND TECHNOLOGY 
R S Khurmi,A Textbook of Structural Mechanics 
Gupta,Plashility and impact Mechanics 
"ZHILYAEV, AP",SUPERPLASTICITY AND GRAIN BOUNDARIES IN ULTRAFINE GRAINED MATERIALS 
TRIBIKRAM KUNDU,FUNDAMENTALS OF FRACTURE MECHANICS
"Anderson, T L",Fracture Mechanics  Fundamentals and applications 
"BELOV, ALEXANDER",APPLIED FRACTURE MECHANICS 
"BROEK, David",ELEMENTARY ENGINEERING FRACTURE MECHANICS 
"KRUPP, ULRICH",FATIGUE CRACK PROPAGATION IN METALS AND ALLOYS 
Prasant Kumar,Elements of Fracture Mechanics 
PRASANTH KUMAR,ELEMENTS OF FRACTURE MECHANICS 
"BALDEV, RAJ",PRACTICAL NON DESTRUCTIVE TESTING 
"PRASAD, J",NON DESTRUCTIVE TEST AND EVALUATION OF MATERIALS 
Ajoy Kumar,Thermal Engineering 
"Khurmi, R S",A TEXTBOOK OF THERMAL ENGINEERING 
"Potter, Merle C",Thermal SciencesAn Introduction to Thermodynamics Fluid Mechanics and Heat Transfer 
"RATHORE, MAHESH M",THERMAL ENGINEERING 
Ibrahim Dincer ,Thermal energy storage systems and applications 
ROBERTSON G R,FUNDAMENTAL ELECTRICAL AND ELECTRONIC PRINCIPLES 
William A.Nash,Theory and Problems of Strength of Materials Schaums Outline 
"BARBERO, EVER J",INTRODUCTION TO COMPOSITE MATERIALS 
"BHAGWAN, AGARWAL D",ANALYSIS AND PERFORMANCE OF FIBER COMPOSITES 
"Chawla, krishan K",COMPOSITE MATERIALS  Science and Engineering 
"DECOLON, CHRISTIAN",ANALYSIS OF COMPOSITE STRUCTURES 
"JONES, ROBERT M",MECHANICS OF COMPOSITE MATERIALS 
MudhujitMukhopadhyay,Mechanics of Composite Materials and Structures 
Prasad,Composites Science and Technology 
Srinivasan,COMPOSITE MATERIALS 
Sujata V. Bhat,Biomaterials 
"VASILIEV, VALERY V",ADVANCED MECHANICS OF COMPOSITE METERIALS AND STRUCTURAL ELEMENTS 
KHANNA OP,TEXT BOOK OF MATERIAL SCIENCE AND METALLURGY 
JINDAL U C,ADVANCED TOPICS OF STRENGTH OF MATERIALS
A.M.Neville,Concrete Technology 
BAGCHI,Industrial Steel Reference Book 
Bhattacharya,Metal Cutting Theory And Practice 
"HEINE, RICHARD W",Principles of Metal Casting 
KRISHNA REDDY,Principles of Engineering Metallurgy 
"STEPHENS, RALPH",METAL FATIGUE IN ENGINEERING 
Saliya,Engineering Applied Mechanics 
"KINSLER, LAWRENCE E",FUNDAMENTALS OF ACOUSTICS 
"MOBLEY, R, KEITH",VIBRATION FUNDAENTALS 
Robert D. Finch,Introduction to Acoustics 
Michael Moser,Engineering Acoustic  An Introduction to Noise Control 
SWARNALETHA K ,SUSTAINABLE ENGINEERING
P.C.MISHRA,ULTRASONICS 
Baldev Raj,Science and Technology of Ultrasonics 
"DUKKIPATI, RAO V",ADVANCED MECHANICAL VIBRATIONS 
"PETYTE ,MAURICE",INTRODUCTION TO FINITE ELEMENT VIBRATION ANALYSIS 
"SINGH, V P",MECHANICAL VIBRATIONS 
"PALM, WILLIAM J",MECHANICAL VIBRATION 
Balakumar Balachandran,Vibrations 
"BENEROYA, HAYM",MECHANICAL VIBRARTION 
"KELLY,GRAHAM S",SCHAUMS OUTLINE OF MECHANICAL VIBRATION 
"BLES, DAVID A",ENGINEERING NOISE CONTROL 
Daniel J. Inman,Engineering Vibration 
"Dukkipati ,RAO",Textbook Mechanical Vibrations 
"INMAN, DANIEL J",ENGINEERING VIBRATION 
"KELLY, GRAHAM S",MECHANICAL VIBRARTIONS 
"KELLY, GRAHAM",SHAUMS OUTLINES MECHANICAL VIBRARIONS 
"Meirovitch,Leonard",Fundamentals of Vibrations 
"MEROVITSCH, LEONARD",ELEMENTS OF VIBRATION ANALYSIS 
NAVIN CHAND,Introduction to Tribology of FRP Materials 
"Rao,J.S.",Introductory Course on Theory and Practice of Mechanical Vibraations 
"Rao, Singiresu S.",Mechanical Vibrations 
Rao V.Dukkipati,Vibration Analysis 
Sadhu Snigh,Mechanical Vibrations and Noise Control 
Srinivasan,Non Linear Mechanical Vibrations 
"VER, ISTVAN L",NOISE AND VIBRATION CONTROL IN ENGINEERING 
"WILLIAM, THOMSON T.",THEORY OF VIBRATION WITH APPLICATIONS 
SADHUSINGH,MECHANICS VIBRTIONS AND NOISE CONTROL
V P SINGH,Mechanical Vibrarions
"William weaver, Stephen P Timossbenko",Vibration problems in Engineering 
Cyril M.Harris,Harris Shock and Vibration HandBook 
Jer-Nan Juang,Identification and Control of Mechanical System 
Benson H.Tongue,Principles of Vibration 
Ramesh Chandra,Encyclopedia of thermodynamics 
"MICHAILOV, MICHAIL",NANOPHENOMENA A T SURFACES 
Rastogi,Surface And Interfacial of Engineering and Technology 
AKHLESH LAKHTAKIA,HANDBOOK OF NANOTECHNOLOGY  NANOMETER STRUCTURES 
"AVINASH, BALAKRISHNAN",NANOSTRUCTURED CERAMIC OXIDES FOR SUPERCAPACITOR APPLICATIONS 
"CARRARA, SANDRO",NANOBIOSENSING 
"MOHANKUMAR, G",NANOTECHNOLOGY NANOMATERIALS AND NANO DEVICES 
"ITOH, KIYOO",ULTRA LOW VOLTAGE NANO SCALE MEMORIES 
"MCCLEMENTS, DAVIDJULIAN",NANOPARTICLE AND MICROPARTICLE BASED DELIVERY SYSTEMS  ENCAPSULATION PROTECTION AND RELEASE OF ACTIVE COMPOUNDS 
"KODOLOV, VLADIMIR I",NANOSTRUCTURES NANOMATERIALS AND NANOTECHNOLOGIES TO NANOINDUSTRY 
"MITIN, VLADMIR V",INTRODUCTION TO NANOELECTRONICS  SCIENCE AND NANOTECHNOLOGY 
"MURTY, SHANKAR, BALDEV RAJ",TEXTBOOK OF NANO SCIENCE AND NANO TECHNOLOGY 
NING,NANO OPTOELECTRONIC SENSORS AND DEVICES 
"NOVOTNY, LUCAS",PRINCIPLES OF NANO OPTICS 
"OHNO, KAOURU, TANAKA, MASATHOSHI, TAKEDA, JUN",NANO  AND MICROMAATERIALS 
"OHSTU, M",NAVIER 
"OHTSU, M",NEAR FIELD NANO ATOM OPTICS AND TECHNOLOGY 
"POOLE, CHARLES P, OWENS, FRANK J",Introduction to Nanaotechnology 
"PRADEEP, T",NANO  THE ESSENTIALS UNDERSTANDING NANOSCIENCE AND NANOTECHNOLOGY 
"PULICKEL, M AJAYAN",NANOCOMPOSITE SCIENCE AND TECHNOLOGY 
RATNER MARK,NANOTECHNOLOGY 
"ROTELLO, VINCENT",NANOPARTICLES BUILDING BLOCKS FOR NANOTECHNOLOGY 
"SANDEEP, SHUKLA K",NANO QUNATUM AND MOLECULAR COMPUTING  IMPLICATIONS TO HIGH LEVEL DESIGN AND VALIDATION 
SUJAUL CHAUDHURI,NANO STRUCTURE PHYSICS AND MICROELECTRONICS 
SULABHA K KULKARNI,NANOTECHNOLOGY PRINCIPLES AND PRACTICES 
CHATTOPADHYAY.K.K,INTRODUCTION TO NANOSCIENCE AND NANOTECHNOLOGY 
C.DELERUE,NANOSTRUCTURES 
"DURKAN, COLM",CURRENT AT THE NANO SCALE 
"GARDNER, JULIAN W",FROM INSTRUMENTATION TO NANOTECHNOLOGY 
"GOGOTSI, YURY",NANOTUBES AND NANOFIBERS 
STEPHEN.M.HSU,NANOTRIBOLOGY 
V.S.MURALIDHARAN,NANOSCIENCE And TECHNOLOGY 
Jurgenschulte,Nanotechnology  Globel stratogies Industry Trends and Applications 
V.A.SHCHUKIN,NANOSTRUCTURE 
BRIDGER RS,INTRODUCTION TO HUMAN FACTORS AND ERGONOMICS 
BIJULAL D,TECHNOLOGY ENABLED WORK SYSTEM DESIGN
B Singh,Mechan ical engineering gate2020 
"MUBEEN, ABDUL",QUESTION BANK IN MECHANICAL ENGINEERING 
ASHOK G AMBEKAR,MECHANISM And MACHINE THEORY 
"ALLEN, JAMES J",MICRO ELECTRO MECHANICAL SYSTEM DESIGN 
"BALACHANDRAN, P",BASIC MECHANICAL ENGINEERING 
BALACHANDRAN P,BASICS OF MECHANICAL ENGINEERING 
"BENJAMIN, J",A TEXTBOOK OF BASIC MECHANICAL ENGINEERING 
BIJU N,ENGINEERING MECHANICS STATICS AND DYNAMICS 
"BUDYNAS, RICHARD G",SHIGLEYSMECHANICAL ENGINEERING DESIGN 
"CARRYER, EDWARD J",INTRODUCTION TO MECHATRONIC DESIGN 
Dan B. Marghitu,Mechanical Engineers Hand Book 
"Kamm,Lawrence J",Understanding Electromechanical Engineering  An Introduction to Mechtronics 
"Khurmi, R S",Mechanical Engineering  Conversional and Objective 
"MAHADEVAN, K",DESIGN DATA HANDBOOK FOR MECHANICAL ENGINEERS  IN SI AND METRIC UNITS 
"Maitra ,Gitin M.",Handbook of Mechanical Design 
"Manglik, V.K.",Elemements of Mechanical Engineering 
"NAYAK, PRASUNKUMAR",TEXT BOOK OF MECHANICS 
"PFIEFFER, FRIEDRICH",MECHANICAL SYSTEM DYNAMICS 
"Rajan, T S",Basic Mechanical Engineering 
"Roy, K P",Elements of Mechanical Engineering 
"SANCHAYAN, MUKHERJEE",FUNDAMENTALS OF MECHANICAL SCIENCES  ENGINEERING THERMODYNAMICS AND FLUID MECHANICS 
SAWHNEY.G.S,FUNDAMENTALS OF MECHANICAL ENGINEERING 
Suresh Chandra,Introduction to Mechanical Engineering  Thermodynamics and Strength of Materials 
Walter Greiner,Classical Mechanics  Systems of Practicles and Hamiltionian Dynamics 
KALAIKATHIR ACHAGAM,DESIGN DATA DATA BOOK FOR ENGINEERS
Ramachandran S,Basics of Mechanical Engineering
J P HOLMAN,EXPERIMENTAL METHODS FOR ENGINEERS
UYEMURA,CMOS LOGIC CIRCUIT And DESIGN 
"MCGUIRE, PATRICK. M",CONVEYORS  AQPPLICATION SELECTION AND INTEGRATION 
Nag Choudhari,Principles of Metal Technology 
"KUMAR, CHETHAN",MECHANICAL ENGINEERING 
AUGUSTINE D KANNAPPAN,MECHANICAL ESTIMATING AND COSTING 
"Beckwith, marangoni",Mechanical Measurements 
"BECKWITH, THOMAS G",MECHANICAL MEASUREMENTS 
G.D. Rai,NonConventional energy sources 
"TEIDELL, JOHN",RENEWABLE ENERGY RESOURCES 
AHMED SIRAJ,WIND ENERGY 
Archie W. Culp,Principles of energy Converson 
"AWASTHI, O.N",APPLICATIONS OF LIGHT AND ENERGY MANAGEMENT 
"CAPEHART, BARNEY",GUIDE TO ENERGY MANAGEMENT 
Dr.B.B.PARULEKAR,ENERGY TECHNOLOGY 
"KEYHANI, ALI",DESIGN OF SMART POWER GRID RENEWABLE ENERGY SYSTEMS 
"KHAN, BH",NONCONVENTIONAL ENERGY RESOURCE 
"RAI, G.D",NON CONVENTIONAL ENERGY SOURCES 
Rajan,Optimising Energy Efficiencies in Industry 
SAWHNEY G S,NON CONVENTIONAL ENERGY RESOURCES 
"SHARMA, K V",ENERGY MANAGEMENT AND CONSERVATION 
Tiwari,Renewable Energy Resources  Basic Principles and Applications 
"Sdlonki, Chetan Singh",Renewable Energy Technologies 
G.D.Rai,NonConventional Sources of Energy 
"KHURMI, R S",STEAM TABLES WITH MOLLIER DIAGRAM 
K.K.Ramalingam,Steam Tables in SI Units 
K VIJAYA KUMAR REDDY,ENGINEERING MECHANICS STATISTICS AND DYNAMICS
Nichola Bianchi,Electrical Machine Analysis Using Finite elements 
"HODGE, B K",COMPRESSIBLE FLUID DYNAMICS  WITH PERSONAL COMPUTER APPLICATIONS 
"John,Bentley",Principles of Measurement Systems 
"BALACHANDRAN, P",FUNDAMENTALS OF COMPRESSIBLE FLUID DYNAMICS 
R.SRINIVASAN,ENGINEERING MATERIALS AND METALLURGY 
"Sharma, C P",ENGINEERING MATERIALS  PROPERTIES AND APPLICATIONS OF METALS AND ALLOYS 
ALCIATORE G. DAVID,INTRODUCTION TO MECHATRONICS AND MEASUREMENT SYSTEMS 
"Bolton, W",Mechatronics 
"Bolton, W",MECHATRONICS  A MULTIDISCIPLINARY APPROACH 
"Bolton, W",MECHATRONICS  ELECTRONIC CONTROLSYSTEMS IN MECHANIAL AND ELECTRICAL ENGINEERING 
Braga,Mechatronics Source Book 
D.A.Bradley,Mechatronics  Electronics in Products and Processes 
DAN NECSULESCS,MECHATRONICS 
"DE SILVA, CLARENCE W",MECHATRONICS  A FOUNDATION COURSE 
Nitaigour Premchand Mabalik,Mechatronics  Principles Concepts and Applications 
ONWUBOLU,MECHATRONICS PRINCIPLES And APPLICATIONS 
"RAMACHANDRAN, K.P",MECHATRONICS  INTEGHRATED MECHANICAL ELECTRONIC SYSTEMS 
SHETTY DEVADAS,MECHATRONICS SYSTEM DESIGN 
"SRINIVAS, J",CONTROL SYSTEMS AND MECHATRONICS 
ROUND GF,iNCOMPRESSIBLE FLOW TURBO MACHINES DESIGN SELECTION APPLICATION AND THEORY 
Murgai,Boiler Operations  Progress in Energy Auditing and Conservation 
Rajput R K,Textbook of Hydraulic Machines 
"BANDYOPADHYAY, MN",INTRODUCTION TO SIGNALS AND SYSTEMS AND DIGITAL SIGNAL PROCESSING 
Banga,Hydraulic Machines 
V.P.Vasandani,Hydraulic Machines  Theory And Design 
"BRENNEN, CHRISTOPER E",HYDRODYNAMICS OF PUMPS 
"FERNANDEZ, FRANCIS M",A BASIC COURSE IN ELECTRICAL ENGINEERING 
ANANDA NATARAJAN,BASIC ELECTRICAL ENGINEERING 
SURJIT SINGH,ELECTRICAL DRAWING PT1 
"PRASAD, GIRI",ELECTROMAGNETIC WAVES And TRANSMISSION LINES 
"AGARWAL, R K",PRINCIPLES OF ELECTRICAL DESIGN 
"GUPTA, J B",SWITCH GEAR And PROTECTION 
"THERAJA, B L",TEXTBOOK OF ELECTRICAL TECHNOLOGY  BASIC ELECTRICAL ENGINEERING 
Dor F,The Electrical Engineering HAnd BookComputers software Engineering And Digital Devices 
Alagappan,Electrical Estimating and Costing 
"ARITRA, ACHARYA",FOUNDATIONS AND FRONTIERS IN COMPUTER COMMUNICATION AND ELECTRICAL ENGINEERING 
"ASWATHI, O N",FUNDAMENTALS OF LIGHTNG 
"BHATTACHARYA, A B",ADVANCED ELECTRONIC PRACTICALS 
Bhattacharya,Projects in Electrical and Electronics Engineering 
"Bobrow, Leonard S",FOUNDATION OF ELECTRICAL ENGINEERING 
"Bobrow, Leonard S",FOUNDATIONS OF ELECTRICAL ENGINEERING 
"Bobrow, Leonard S",Fundamentals of Electrical Engineering 
"Cathey, Jimmie J",Theory and Problems Basic Electrical Engineering 
"DATTA, N K",BASIC ELECTRONICS ENGINEERING 
"DEL TORO, VINCENT",Electrical Engineering Fundamentals 
DHOGAL P S,Basic Electrical Engineering  With numerical Problem Vol 2 
Dhogal,Basic Electrical Engineering  With Numerical Problems Volume I 
Dhogal,Basic Electrical Engineering  With Numerical Problems Volume II 
Dhogal,Electrical Engineering Volume I 
HAMBLEY,ELECTRICAL ENGINEERING PRINCIPLES AND APPLICATIONS 
"Fowler ,Richard J",Electricity  Principles and Applications 
"GIRI PRASAD, JAYACHANDRA PRASAD, JAGADEESWAR REDDY",ELECTRO MAGNETIC WAVES AND TRANSMISSION LINES 
"Gupta ,B R",Electrical Science 
Handa,ELECTRICAL ENGINEERING 
Hemalatha,Electrical Engineering and Control Systems 
"IMTHIAS, AHAMED T P",BASICS OF ELECTRICAL ENGINEERING 
SURESHKUMAR,ELECTRIC CIRCUITS AND NETWORKS 
Kothari,Basic Electrical Engineering 
Kothari,Theory of Problems of Basic Electrical Engineering 
Krishnamurthy,Electrical Electronics and Computer Engineering for Scientists and Engineers 
Muthusubramanian,Basic Electrical Electronics and Computer Engineering 
Naidu M S,Introduction to Electrical Engineering 
"NARANG, K L",TEXT BOOK OF ELECTRICAL ENGINEERING DRAWING 
"RAINA , BHATTTACHARYA",ELECTRICAL DESIGN 
"Rajput, R K",BASIC ELECTRICAL AND ELECTRONICS ENGINEERING 
"Rajput, R K",Direct Current Machines 
"RIZZONI, GIORGIO",PRINCIPLES AND APPLICATIONS OF ELECTRICAL ENGINEERING 
"SANTANU, CHATTOPADHYAY",A TEXTBOOK OF ELECTRONICS 
"SAROJ, DASH K",BASIC ELECTRICAL ENGINEERING WITH MATLAB 
Selvam G,Laboratory Manual And observation in Electrical Engineering 
"SENTURIA, STEPHEN D",MICROSYSTEM DESIGN 
SIEMENS,ELECTRICAL ENGINEERING HANDBOOK 
Suryanarayana N V,Electrical Engineering Handbook 
"SURINDER, PAL BALI",ELECTRICAL TECHNOLOGY   
Theraja,A TEXT BOOK OF ELECTRICAL TECHNOLOGY IN SI UNITS VOLII AC AND DC MACHINES 
Theraja B L,Textbook of Electrical Technology in SI units Vol1Basic Electrical Engineering 
"Tiwari ,BIN SAROOR",First Course in Electrical Engineering 
"VIGYACHARYA, RAM BANSAL",MODERN ELECTRICAL ENGINEERING 
Gupta J.B.,Fundementals of Electrical Engineering and Electronics 
G.P.Chhalotra,Experiments in Electrical Engineering 
Gupta J.B.,ELECTRICAL INSTALLATION ESTIMATING And COSTING 
C.S.INDULKAR,ELECTRICAL ENGINEERING MATERIALS 
Khama,Hand Book of Electrical And Electronics 
NANNAPANENI NARAYANA RAO,ELEMENTS OF ENGINEERING ELECTYROMAGNETICS 
B.L.THERAJA,A Textbook OF ELECTRICAL TECHNOLOGY 
Theraja B L,A Textbook of Electrical Technology in SI units Vol II AC and DC machines 
"ROSLONIEC, S",FUNDAMENTALS NUMERERICAL M ETHODS FOR ELECTRICAL ENGINEERING 
Gupta,Electrical Engineering Materials 
Bhatia,Study of Electrical Applineer 
S.O.Kasap,Principles of Electrical Engineering Materials And Devices 
"DEKKER, A J",EL  ECTRICAL ENGINEERING MATERIALS 
"INDULKAR, C S",AN INTRODUCTION TO ELECTRICAL ENGINEERING MATERIALS 
"KOTHARI, D P",ELECTRICAL AND ELECTRONICS MATERIALS 
"JONES, IAN P",MATERIALS SCIENCE FOR ELECTRICAL AND ELECTRONIC ENGINEERS 
"Rajput, R K",Course in Electrical Engineering Materials 
"Solymar , WALSH",Electrical Properties of Materials 
INDULKAR.C.S,INTRODUCTION TO ELECTRICAL ENGINEERING MATERIALS 
Ram Kumar Garg,Common Electrical and Measurements 
Blum,Multisensor Image Fusion and its applications 
"GUPTA, J B",A COURSE IN POWER SYSTEM 
