Author,Title
KENNETH J. AYALA,THE 8051 MICROCONTROLLER And EMBEDDED SYSTEMS 
SUBRATA GHOSHAL,8051 MICROCONTROLLER 
Gilmore Charles,Microprocessors  Principles and Applications 
Galen A. Grimes,Upgrading and Fixing PCS in 24 Hours Sams Teach Yourself 
RAJ KAMAL,MICROCONTROLLERS ARCHITECTURE PROGRAMMING INTERFACING AND SYSTEM DESIGN 
I.SCOTT MACKENZIE,THE 8051 MICROCONTROLLER 
MUHAMMAD ALI MAZIDI,PIC MICROCONTROLLER AND EMBEDDED SYSTEMS 
"AZIDI, MUHAMMAD ALI",THE 8051 MICROCONTROLLER AND EMBEDDED SYSTEMS 
Dr.K.V.K.K.PRASAD,EMBEDDEDREALTIME SYSTEMS  BLACK BOOK 
K.UMA RAO,THE 8051 MICROCONTROLLERS 
John Paul Shen,Modern Processor Design 
Daniel Tabak,Advanced Microprocessors 
WALTER.A.TRIEBEL,THE 8088 AND 8086 MICROPROCESSORS 
Richard H. Barnett,The 8051 Family of Microcontrollers 
KAMAL RAJ,MICRONTROLLERS ARCHITUCTURE PROGRAMMING INTERFACING And SYSTEM DESIGN 
"Kalpathi, Ramani",Micro Controls and Applications 
John Dorrsey,Continous and Discrete Control Systems  Modeling Identification Design and Implimentation 
"AJAY, DESHMUKH V",MICROCONTROLLERS  THEORY AND APPLICATIONS 
AJIT PAL,MICROCONTROLLERS PRINCIPLES AND APPLICATIONS 
"AYALA, KENNETH",8051 MICROCNTROLLER AND EMBEDDE SYSTEMS 
Eady,Networking and Internet working with Microcontrollers 
"GAONKAR, RAMESH",FUNDAMENTALS OF MICROCONTROLLERS AND APPLICATIONS IN EMBEDDED STYSTEMS 
CHONG-MIN KYUNG,ENERGY AWARE SYSTEM DESIGN ALGORITHMS AND ARCHITECTURES 
"PEATMAN, JOHN.B",DESIGN WITH PIC MICROCONTROLLERS 
Rajiv Kapadia,8051 Microcontroller And Embedded Systems 
SMITH R.JACK,PROGRAMMING THE PIC MICROCONTROLLER WITH BASIC 
"SUSNEA, I",MICROCONTROLLERS IN PRACTICE 
"THEAGARAJAN ,R.",MICROCONTROLLER AND ITS APPLICATIONS 
"VALDES-PEREZ, FERNANDO E",MICROCONTROLLERS  FUNDAMENTALS AND APPLICATIONS WITH PIC 
Predko,Programming and Customizing the 8051 Microcontroller 
ARUNESH GOYAL,SYSTEM ANALYSIS AND DESIGN 
D.S. Yadav,Microcontrollers  Feature and Application 
"Dey, Pradeep",Computer Fundamentals and Programming in C 
"Fisher, Joseph A.",Embedded Computing 
"Leon, Alexis leon",IT Tools And Applications 
Boyd,Systems Analysis and Modelling 
DENNIIS,SYSTEM ANALYSIS And DESIGN 
"DENNIS, ALAN",SYSTEMS ANALYSIS AND DESIGN WITH UML VERSION 20 
Igor Hawryszkiewycz,Introduction to Systems Analysis and Design 
Jeffery L. Whitten,System Analysis And Design Methods 
"MANO, MORRIS M",DIGITAL LOGIC AND COMPUTER DESIGN 
"MANO, MORRIS",LOGIC AND COMPUTER DESIGN FUNDAMENTALS 
"Rajarman, V",An introduction to Digital Computer design 
"Senn,James A.",ANALYSIS AND DESIGN OF Information Systems 
Anil Bahrami,Object Oriented Systems Development 
ALAN DENNIS,SYSTEMS ANALYSIS And DESIGN 
Ev. V. K. Jain,System Analysis and Design Hand Book 
Meilir Page Johns,The Practical Guide to Structured Systems Design 
James A. Senn,Analysis and Design of Information System 
"HENNESSY, JOHN L, PATTERSON, DAVID A",COMPUTER ARCHITECTURE 
"CHAUDHARY, A PAL",COMPUTER ORGANIZATION And DESIGN 
"CARPINELLI, JOHN D",COMPUTER SYSTEMS ORGANIZATION And ARCHITECTURE 
Berger,Hardware computer organizationThe software Perspective 
Seymour Lipschutz,Theory and Problems of Date Structures 
"DANDAMUDI ,SIVARAMA P",Fundamentals of Computer Organization and Design 
David E. Guller etc,Parllel Computer Architecture 
Dezso Sima,Advanced Computer Architectures  A Design Space Approach 
FURBER STEVE,ARM SYSTEMONCHIP ARCHITECTURE 
Govindarajalli B,Computer Architecture And Organization Design principles And Applications 
"HAMACHER, CARL",Computer Organisation 
"HARRIS, DAVID MONEY",DIGITAL DESIGN AND COMPUTER ARCHITECTURE 
HAYES JOHN P,Computer Architecture and Organizaties 
"Hwang, Kai",Advanced Computer Architecture 
"Hwang, Kai",ADVANCED COMPUTER ARCHITECTURES  PARALLELISM SCALABILITY PROGRAMMABILITY 
Jean-Louis Ermine,Expert Systems  Theory and Practice 
John Socha,Assembly Language Book for the PC 
John L. Hennessy,Computer Archtecture 
Kai Hwang,Advance Computer Architecture  Perelleism Sealability Programmability 
"Kain,Richard Y",ASVANCED COPMPUTER ARCHIECTURE 
Kai Hwang,Computer Architecture And Parallel Proccessing 
"Liu,Yu-Cheng",Micro Computer Systems  The 80868088 family  Architecture Programming and Design 
"MANO MORRIS, M",COMPUTER SYSTEM ARCHITECTURE 
"Null, Linda",Essentials of Computer Organization and Architecture 
"Pal Chaudhari ,P",Computer Organisation and Design 
"PATTERSON, DAVID A",Computer Organisation and Design   
"RAJARAMAN, V, RADHAKRISHNAN.T",DIGITAL LOGIC AND COMPUTER ORGANIZATION 
"Sima, Dezso",Advanced Computer Architectures 
"SIMA ,DEZSO",Advanced Computer Architructure   
"Tanenbaum, Andrew S",Structured Computer Organisation 
Kai Hwang,Advanced Computer Architecture Parellelism Scalability Programmability 
Carter,Schaums Outline of Computer Architecture 
P. Paul Chaudhuri,Computer Organization and Design 
"HEURING, VINCENT",COMPUTER SYSTEMS DESIGN AND ARCHITECTURE 
"MURDOCCA, MILES",COMPUTER ARCHITECTURE AND ORGANIZATION 
Linda,The Essentials of computer organization And architecture 
P.V.S. Rao,Perspectives in Computer Architecture 
William Stallings,Computer Organisation and Architecture 
Willian Stallings,Computer Organization and Architective Designing for Performance 
Govindarajalu,Computer Architecture and Organisation  Design Principles and Applications 
John R. Hubbard,Theory and Problems of Data Structures with C 
"Fosdick, Lloyd",Introduction to High Performance Scientific Computing 
Paul J. Fortier,Computer Systems Performance Evaluation and predition 
Lloyd D. Fosdicle,An Introduction to HighPerformance Scientific Computing 
BHASKER J,VHDL Primer 
"VALACICH, JOSEPH",ESSENTIALS OF SYSTEMS ANALYSIS AND DESIGN 
Yu-Cheng Liu,Microcomputer Systems  The 80868088 family Architective Programming and Design 
"UFFENBECK, JOHN",80X86 FAMILY 
RAJKUMAR BUYYA,HIGH PERFORMANCE CLUSTER COMPUTING VOL1 
Bennet T staurt,Realtime computer control An introduction 
C.M.Krishna,RealTime Systems 
Philip. A. Laplante,RealTime Systems Design and Analysis 
"LAPLANTE, PHILIP",REAL TIME SYSTEMS DESIGN AND ANALYSIS 
"LAPLANTE, PHILIP",REALTIME SYSTEMS DESIGN AND ANALYSIS 
Douglas L. Perry,VHDL  Programming by Example 
J Bhasker,A VHDL Primer 
Jack Dongarra,Source Book of Prallel Computing 
"KECKLER, STEPHEN .W",MULTICORE PROCESSORS AND SYSTEMS 
"QUINN, MICHAEL J",PARALLEL COMPUTING THEORY AND PRACTICE 
Sasikumar,Introduction to Parallel Processing 
R. Michael Hord,Understanding Parallel super Computing 
Eddon Guy,Inside Distributed Com 
"ACHARYA, VIVEK",TCOIP 
"BERMAN, FRAN",GRID COMPUTING  MAKING THE GLOBAL INFRASTRUCTURE A REALITY 
"BROOKE, PHILLIP J",PRACTICAL DISTRIBUTED PROCESSING 
"DEWIRE,DAWNA TRAVIS",client server computing 
"MINOLI, DANIEL",A NETWORKING APPROACH TO GRID COMPUTING 
"MAGOULES, FREDERIC",GRID RESOURCE MANAGEMENT  TOWARD VIRTUAL AND SERVICES COMPLIANT GRID COMPUTING 
"MINOLI, DANIEL",GRID COMPUTING A NETWORKING APPROACH 
Patrick.N.Smith,ClientServer Programming 
"REISIG, WOLFGANG",ELEMENTS OF DISTRIBUTED ALGORITHMS  MODELING AND ANALYSIS WITH PETRI NETS 
"SMITH, PATRICK",CLIENT  SERVER COMPUTING 
"Inmon, W H",Developing ClientServer Applications 
ZHAOHUI WU,SEMANTIC GRID MODEL METHODOLOGY AND APPLICATION 
BLUNDEN BILL,Message passing server internals 
Chevance,Serevr Architectures Multiprocessors clusters Parallel systems Web severs storage solutions 
Dawna Travis Dewire,ClientServer Computing 
JOSHY JOSEPH,GRID COMPUTING 
M.L.Liu,Distributed Computing Principles and Applications 
"MORTON, TODD",EMBEDDED MICROCONTROLLERS 
Peter Norton,Complete guide to Micro softwindows 2000 server 
"ORFALI, ROBERT",CLENTSERVER SURVIVAL GUIDE 
Joe Salemi,Guide to Client Server Data bases 
Jeffrey D Schank,Novells Guide to Client Server Applications and Architecture 
